data,produto,categoria,quantidade,preco
01/02/2023,Pulseira onda,Pulseira,20,20.0
01/10/2023,Pulseira rosa,Pulseira,30,20.0
01/02/2023,Pulseira Borboleta,Pulseira,20,""
02/02/2023,Anel coracao,Anel,10,30.0
03/02/2023,Anel coracao,Anel,10,30.0
04/02/2023,Anel borboleta,Anel,15,30.0
05/02/2023,Brinco trio onda,Brinco,10,50.0
06/02/2023,Brinco trio pedra,Brinco,15,50.0
05/07/2023,Brinco trio rosa,Brinco,5,""
06/07/2023,Brinco Trio Verde,Brinco,20,50.0
07/07/2023,Brinco Trio perola,Brinco,10,50.0
08/07/2023,Brinco luz,Brinco,15,50.0
09/07/2023,Brinco pedras,Brinco,20,50.0
10/07/2023,Brinco1,Brinco,5,50.0
05/08/2023,Brinco2,Brinco,10,50.0
06/08/2023,Conjunto Azul,Conjunto,15,80.0
07/08/2023,Conjunto Rosa,Conjunto,20,80.0
08/08/2023,Conjunto Terco,Conjunto,5,80.0
09/08/2023,Colar Familia,Colar,10,70.0
10/08/2023,Colar Pedras,Colar,15,70.0
12/03/2023,Colar Liso,Colar,20,70.0
13/03/2023,Colar Colorido,Colar,5,""
14/03/2023,Colar Familia,Colar,1,70.0
15/03/2023,Brinco1,Brinco,4,50.0
16/03/2023,Anel coracao,Anel,9,30.0
15/04/2023,Colar Pedras,Colar,1,70.0
16/04/2023,Anel coracao,Anel,9,30.0
17/04/2023,Conjunto Terco,Conjunto,4,80.0
18/04/2023,Colar Pedras,Colar,14,70.0
19/04/2023,Colar Familia,Colar,9,70.0
20/04/2023,Brinco luz,Brinco,14,50.0
21/04/2023,Brinco Trio perola,Brinco,9,50.0
01/01/2023,Brinco1,Brinco,3,50.0
02/01/2023,Anel coracao,Anel,9,30.0
03/01/2023,Conjunto Terco,Conjunto,4,80.0
04/01/2023,Brinco luz,Brinco,12,50.0
05/01/2023,Pulseira onda,Pulseira,19,20.0
06/01/2023,Brinco luz,Brinco,10,50.0
20/09/2023,Conjunto Azul,Conjunto,14,80.0
21/09/2023,Brinco luz,Brinco,13,50.0
22/09/2023,Brinco Trio perola,Brinco,8,50.0
23/09/2023,Brinco2,Brinco,3,50.0
24/09/2023,Conjunto Terco,Conjunto,3,80.0
15/10/2023,Brinco Trio perola,Brinco,8,50.0
16/10/2023,Pulseira onda,Pulseira,15,20.0
17/10/2023,Anel coracao,Anel,7,30.0
18/10/2023,Brinco luz,Brinco,9,50.0
19/10/2023,Colar Familia,Colar,7,70.0
20/10/2023,Colar Pedras,Colar,14,70.0
21/10/2023,Conjunto Azul,Conjunto,13,80.0
18/11/2023,Brinco luz,Brinco,11,50.0
19/11/2023,Brinco luz,Brinco,10,50.0
20/11/2023,Brinco Trio perola,Brinco,,50.0
21/11/2023,Pulseira onda,Pulseira,,20.0
22/11/2023,Brinco luz,Brinco,9,50.0
23/11/2023,Brinco Trio perola,Brinco,7,50.0
24/11/2023,Conjunto Terco,Conjunto,,80.0
25/11/2023,Brinco Trio perola,Brinco,6,50.0
20/12/2023,Brinco1,Brinco,2,50.0
21/12/2023,Anel coracao,Anel,8,30.0
22/12/2023,Conjunto Azul,Conjunto,12,80.0
23/12/2023,Colar Pedras,Colar,12,70.0
24/12/2023,Brinco Trio perola,Brinco,2,50.0
25/12/2023,Brinco2,Brinco,6,50.0
26/12/2023,Colar Pedras,Colar,13,70.0
27/12/2023,Colar Familia,Colar,,70.0
20/01/2023,Brinco luz,Brinco,8,50.0
21/01/2023,Conjunto Terco,Conjunto,2,80.0
22/01/2023,Brinco2,Brinco,9,50.0
23/01/2023,Colar Pedras,Colar,11,70.0
24/01/2023,Brinco luz,Brinco,7,50.0
25/01/2023,Brinco Trio perola,Brinco,8,50.0
05/09/2023,Anel coracao,Anel,10,30.0
06/09/2023,Colar Pedras,Colar,10,70.0
07/09/2023,Brinco Trio perola,Brinco,5,50.0
08/09/2023,Colar Familia,Colar,5,70.0
09/09/2023,Brinco luz,Brinco,6,50.0
10/09/2023,Pulseira onda,Pulseira,2,20.0
09/08/2023,Colar Colorido,Colar,4,70.0
10/08/2023,Colar Colorido,Colar,3,70.0
11/08/2023,Pulseira Borboleta,Pulseira,1,20.0
12/08/2023,Brinco Trio Verde,Brinco,,50.0
13/08/2023,Colar Colorido,Colar,2,70.0
14/08/2023,Conjunto Terco,Conjunto,,80.0
15/08/2023,Brinco Trio perola,Brinco,3,50.0
08/04/2023,Brinco luz,Brinco,5,50.0
09/04/2023,Pulseira Borboleta,Pulseira,3,20.0
10/04/2023,Colar Colorido,Colar,,70.0
11/04/2023,Brinco Trio Verde,Brinco,18,50.0
12/04/2023,Pulseira onda,Pulseira,18,20.0
13/04/2023,Colar Colorido,Colar,,70.0
09/06/2023,Pulseira Borboleta,Pulseira,3,20.0
10/06/2023,Pulseira onda,Pulseira,14,20.0
11/06/2023,Colar Colorido,Colar,1,70.0
12/06/2023,Brinco Trio perola,Brinco,4,50.0
13/06/2023,Brinco Trio Verde,Brinco,19,50.0
14/06/2023,Brinco Trio perola,Brinco,3,50.0
15/06/2023,Pulseira onda,Pulseira,17,20.0
16/06/2023,Pulseira onda,Pulseira,16,20.0
16/06/2023,Brinco Trio perola,Brinco,20,15.0
01/01/2024,Brinco luz,Brinco,8,50.0
02/01/2024,Colar Pedras,Colar,14,70.0
03/01/2024,Anel coracao,Anel,10,30.0
04/01/2024,Brinco1,Brinco,5,50.0
05/01/2024,Conjunto Azul,Conjunto,7,80.0
06/01/2024,Pulseira onda,Pulseira,12,20.0
07/01/2024,Brinco Trio perola,Brinco,11,50.0
08/01/2024,Conjunto Terco,Conjunto,3,80.0
09/01/2024,Brinco Trio Verde,Brinco,6,50.0
10/01/2024,Colar Familia,Colar,9,70.0
11/01/2024,Colar Pedras,Colar,13,70.0
12/01/2024,Pulseira Borboleta,Pulseira,15,20.0
13/01/2024,Anel coracao,Anel,11,30.0
14/01/2024,Brinco luz,Brinco,7,50.0
15/01/2024,Colar Colorido,Colar,2,70.0
16/01/2024,Brinco2,Brinco,9,50.0
17/01/2024,Colar Familia,Colar,10,70.0
18/01/2024,Pulseira onda,Pulseira,6,20.0
19/01/2024,Brinco Trio perola,Brinco,4,50.0
20/01/2024,Anel coracao,Anel,12,30.0
21/01/2024,Brinco Trio Verde,Brinco,10,50.0
22/01/2024,Conjunto Terco,Conjunto,5,80.0
23/01/2024,Pulseira onda,Pulseira,9,20.0
24/01/2024,Colar Pedras,Colar,15,70.0
25/01/2024,Brinco1,Brinco,3,50.0
26/01/2024,Colar Familia,Colar,6,70.0
27/01/2024,Conjunto Azul,Conjunto,8,80.0
28/01/2024,Brinco luz,Brinco,13,50.0
29/01/2024,Colar Colorido,Colar,7,70.0
30/01/2024,Pulseira Borboleta,Pulseira,20,20.0
31/01/2024,Anel coracao,Anel,10,30.0
01/02/2024,Brinco Trio perola,Brinco,9,50.0
02/02/2024,Colar Pedras,Colar,5,70.0
03/02/2024,Brinco Trio Verde,Brinco,16,50.0
04/02/2024,Conjunto Terco,Conjunto,11,80.0
05/02/2024,Brinco2,Brinco,8,50.0
06/02/2024,Pulseira onda,Pulseira,6,20.0
07/02/2024,Colar Familia,Colar,12,70.0
08/02/2024,Brinco luz,Brinco,7,50.0
09/02/2024,Anel coracao,Anel,13,30.0
11/05/2024,Brinco Trio perola,Brinco,8,50.0
23/03/2024,Anel coracao,Anel,12,30.0
15/07/2024,Colar Pedras,Colar,13,70.0
28/09/2024,Brinco2,Brinco,9,50.0
04/02/2024,Conjunto Azul,Conjunto,7,80.0
09/06/2024,Brinco Trio Verde,Brinco,6,50.0
12/04/2024,Colar Familia,Colar,8,70.0
19/11/2024,Brinco1,Brinco,4,50.0
07/07/2023,Colar Colorido,Colar,5,70.0
21/05/2024,Anel coracao,Anel,14,30.0
03/09/2023,Pulseira Borboleta,Pulseira,7,20.0
26/06/2024,Brinco luz,Brinco,10,50.0
14/12/2023,Colar Pedras,Colar,6,70.0
29/03/2024,Conjunto Terco,Conjunto,5,80.0
22/08/2024,Pulseira onda,Pulseira,8,20.0
09/10/2024,Colar Familia,Colar,12,70.0
11/02/2024,Brinco Trio Verde,Brinco,9,50.0
18/08/2024,Conjunto Azul,Conjunto,11,80.0
24/07/2024,Pulseira Borboleta,Pulseira,10,20.0
30/10/2023,Brinco Trio perola,Brinco,5,50.0
12/02/2024,Brinco luz,Brinco,,50.0
17/03/2024,Colar Pedras,Colar,,70.0
01/08/2024,Anel coracao,Anel,9,30.0
22/06/2024,Conjunto Terco,Conjunto,8,
30/09/2024,Brinco Trio Verde,Brinco,,50.0
05/10/2023,Colar Familia,Colar,,70.0
21/01/2024,Brinco1,Brinco,6,50.0
13/03/2024,Conjunto Azul,Conjunto,5,80.0
29/05/2024,Pulseira onda,Pulseira,7,
10/07/2023,Brinco Trio perola,Brinco,10,50.0
18/09/2024,Colar Colorido,Colar,,70.0
20/03/2024,Brinco luz,Brinco,9,50.0
12/10/2024,Colar Pedras,Colar,,
08/11/2024,Conjunto Terco,Conjunto,4,80.0
27/04/2024,Brinco2,Brinco,,50.0
25/07/2024,Anel coracao,Anel,,30.0
11/06/2023,Brinco Trio Verde,Brinco,8,
16/05/2024,Colar Familia,Colar,10,70.0
01/12/2023,Brinco Trio perola,Brinco,7,50.0
20/04/2024,Pulseira Borboleta,Pulseira,,20.0
17/01/2024,Brinco1,Brinco,4,50.0
09/02/2024,Anel coracao,Anel,,
26/08/2024,Colar Pedras,Colar,10,70.0
12/11/2023,Conjunto Azul,Conjunto,7,80.0
03/05/2024,Brinco Trio Verde,Brinco,,50.0
28/04/2024,Pulseira onda,Pulseira,5,
